Ticker,Name,Industry,Year,Financial Statement,Cash,Short Term Investment Cash,Cash & Short Term Investments,Accounts Receivables,Inventories,Other Current Assets,Total Current Assets,"Gross Property, Plant and Equipment",Total Depreciation,Intangible Assets,Total Other Assets,Total Assets,Accounts Payable,Short Term Debt,Accrued Expenses (Liability),Other Current Liabilities,Other Liabilities,Long Term Debt,Deferred Taxes (Liability),Other Liabilities 1,Total Liabilities,Minority Interest (Equity),Preferred Stock (Equity),Common Equity,Total Shareholder Equity,Common Shares Outstanding,Prepaid Expenses,Cash Due From Banks (Asset),Ticker (Income Statement Data),Year (Income Statement Data),Financial Statement (Income Statement Data),Net Revenues,Cost of Goods Sold,Depreciation And Amortization Expense,Gross Income,General Expenses,Research And Development Expense,Total Operating Expenses,Operating Income,Extraordinary Credit,Extraordinary Charge,Interest Expense On Debt,Other Non-Operating Expenses,Pre-Tax Income,Income Tax Expense,Net Income,Shares To Calculate EPS,Shares To Calculate EPS Diluted,Earnings Per Share,Diluted Earnings Per share,Discontinued Operations,Extraordinary Items,Minority Interest,Pre-Tax Equity Earnings,Equity In Earnings,Other Operating Expenses,Preferred Dividend,Other Operating Income,Loan Loss Provision,Interest Expense Total,Interest Income,Non-Interest Income Total,Non-Interest Expense,Underwriting Expenses,Premiums Earned,Claim And Loss,Asset Turnover for Industry,Net Income for Industry,Equity for Industry,Sales for Industry,Assets for Industry,Positive Net Income,ROE for Industry,ROE (Income/Equity),Profit Margin (Income/Sales),Asset Turnover (Sales/Assets),Financial Leverage (Assets/Equity),Financial Leverage for Industry,Profit Margin for Industry
ORBK,Orbotech Ltd.,Capital Goods,2013,Balance Sheet,161200000,-95500000,205100000,210300000,99200000,8100000,536900000,131300000,-103600000,22800000,43800000,636600000,43700000,0,18900000,56500000,124000000,0,-12700000,17200000,169400000,-840000,0,467300000,467300000,41800000,14100000,0,ORBK,2013,Income Statement,440000000,239200000,13300000,187500000,145500000,69600000,398000000,42000000,-??,-??,2500000,-168000,40800000,-6900000,40000000,42600000,43300000,1,1,0,0,-840000,0,5300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
RUN,SunRun Inc.,Capital Goods,2013,Balance Sheet,105800000,9900000,105800000,9700000,0,10900000,128000000,1200000000,-92700000,0,105000000,1300000000,18100000,38300000,7600000,45900000,124200000,206700000,-104300000,2700000,993000000,-64300000,4000,165000000,165000000,99700000,1600000,0,RUN,2013,Income Statement,54700000,12900000,30200000,11700000,65600000,10000000,108700000,-54000000,-??,-??,11800000,-365000,-66100000,-591000,-1200000,79300000,79300000,0,0,0,0,-64300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
AEHR,Aehr Test Systems,Capital Goods,2013,Balance Sheet,2300000,251000,2300000,2600000,5400000,197000,10500000,9400000,-9100000,0,152000,11000000,1200000,1100000,232000,2600000,5700000,0,0,109000,6000000,0,0,5000000,5000000,10600000,0,0,AEHR,2013,Income Statement,16500000,9400000,322000,6800000,10100000,3200000,19800000,-3300000,0,0,49000,-33000,-3400000,-30000,-3400000,9500000,9500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,2,2,0,0
MICT,Micronet Enertec Technologies Inc.,Capital Goods,2013,Balance Sheet,12800000,2200000,20300000,14200000,4300000,176000,39200000,5100000,-2600000,752000,1100000,42800000,4400000,5100000,1300000,2100000,12800000,4200000,-28000,0,17200000,-2300000,0,17900000,17900000,5800000,211000,0,MICT,2013,Income Statement,35600000,22000000,984000,12600000,8000000,2700000,31000000,4600000,0,0,2300000,-2000,2300000,-496000,-495000,5100000,5100000,0,0,0,0,-2300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
RFIL,RF Industries Ltd.,Capital Goods,2013,Balance Sheet,0,6400000,11900000,3200000,6000000,1900000,22900000,3300000,-2200000,4900000,4900000,29000000,792000,0,376000,604000,2600000,0,-950000,0,3500000,0,0,25400000,25400000,8100000,0,0,RFIL,2013,Income Statement,36600000,21400000,652000,14600000,7800000,0,29800000,6800000,0,0,0,0,6800000,-1800000,3800000,7600000,8500000,0,0,-1100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
SVT,Servotronics Inc.,Capital Goods,2013,Balance Sheet,4500000,-1100000,4500000,5000000,11900000,1100000,22800000,21100000,-14300000,0,354000,30000000,1200000,2600000,297000,297000,5800000,21000,-482000,0,6300000,0,0,23700000,23700000,2300000,310000,0,SVT,2013,Income Statement,30300000,22800000,640000,6900000,5600000,0,29100000,1200000,0,0,41000,42000,1200000,-259000,975000,2300000,2300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
UAMY,United States Antimony Corporation,Capital Goods,2013,Balance Sheet,266900,-980500,266900,576000,1000000,32900,1900000,17400000,-5000000,0,509300,14900000,1900000,265500,50700,160900,2500000,1000000,0,150000,3900000,0,26800,11000000,11000000,63200000,0,0,UAMY,2013,Income Statement,11000000,10700000,688700,-377000,962400,0,12400000,-1300000,0,0,28900,-71800,-1400000,-229500,-1600000,62300000,62300000,0,0,0,0,0,0,0,0,-48600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ASTE,Astec Industries Inc.,Capital Goods,2013,Balance Sheet,35600000,-45400000,52700000,94800000,342300000,18900000,522400000,392500000,-208000000,21600000,24000000,749300000,45800000,0,29900000,70700000,133500000,0,-17500000,17800000,168800000,-172000,0,576900000,576900000,22900000,13600000,0,ASTE,2013,Income Statement,933000000,704700000,22300000,206100000,151400000,18100000,878400000,54600000,1200000,-??,423000,909000,58200000,-19000000,39000000,22700000,23100000,2,2,0,0,-172000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
FIX,Comfort Systems USA Inc.,Capital Goods,2013,Balance Sheet,52100000,11300000,52100000,312000000,8400000,24500000,397000000,121000000,-74100000,152000000,153600000,601800000,100800000,2000000,8200000,92800000,269400000,0,-8500000,8100000,287800000,-1300000,0,295800000,295800000,37600000,0,0,FIX,2013,Income Statement,1400000000,1100000000,18600000,232900000,187200000,0,1300000000,45700000,1600000,0,1400000,793000,46800000,-18100000,27300000,37200000,37500000,1,1,-76000,0,-1300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0
DHR,Danaher Corporation,Capital Goods,2013,Balance Sheet,3100000000,1400000000,3100000000,3500000000,1800000000,763400000,9100000000,4500000000,-2300000000,22300000000,23000000000,34700000000,1800000000,62300000,0,1600000000,4500000000,3400000000,0,2900000000,12200000000,0,0,22400000000,22400000000,698100000,0,0,DHR,2013,Income Statement,19100000000,8200000000,895000000,10000000000,6600000000,1200000000,15800000000,3400000000,14000000,-107000000,145900000,431300000,3600000000,-871000000,2700000000,696000000,711000000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0
HTGM,HTG Molecular Diagnostics Inc.,Capital Goods,2013,Balance Sheet,1800000,-5500000,1800000,603900,744200,164100,3300000,2500000,-1500000,0,0,4400000,750200,450000,298400,435100,2400000,9300000,0,87900,11800000,0,50900000,-58300000,-7400000,7300000,0,0,HTGM,2013,Income Statement,2200000,1900000,315100,-3800,11900000,4200000,14200000,-11900000,161100,--,211900,196800,-11800000,0,-11800000,2900000,2900000,-1,-5,0,0,0,0,0,0,-2400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-5,1,-1,0,0
GSI,General Steel Holdings Inc.,Capital Goods,2013,Balance Sheet,431300000,-14500000,434100000,576000000,340800000,1400000,1400000000,1600000000,-327900000,23700000,24400000,2700000000,670700000,1600000000,45700000,325500000,2600000000,394700000,0,162300000,3200000000,-9600000,3000,-305100000,-305100000,11200000,28400000,0,GSI,2013,Income Statement,2500000000,2400000000,89000000,-55900000,84200000,0,2600000000,-140200000,174600000,--,94700000,8000000,-42500000,-354000,-33000000,11000000,11000000,-3,-3,0,0,-9600000,0,203000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-9,0,0
TMO,Thermo Fisher Scientific Inc.,Capital Goods,2013,Balance Sheet,5800000000,5000000000,5800000000,1900000000,1500000000,613400000,9900000000,3100000000,-1300000000,19600000000,20200000000,31900000000,691500000,987700000,815900000,1000000000,3100000000,9500000000,-1600000000,735100000,15000000000,0,0,16900000000,16900000000,362000000,0,0,TMO,2013,Income Statement,13100000000,6500000000,999900000,5600000000,3800000000,395500000,11300000000,1800000000,2700000,-213700000,262300000,-33900000,1300000000,-40400000,1300000000,360300000,365800000,3,3,-700000,-5100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
TIK,Tel-Instrument Electronics Corp.,Capital Goods,2013,Balance Sheet,310300,-102900,310300,557900,6200000,1400000,8500000,2800000,-2200000,0,321700,11900000,4300000,1300000,1200000,1500000,7600000,1500000,-2500000,198300,9200000,0,0,2700000,2700000,3000000,0,0,TIK,2013,Income Statement,7800000,6600000,228100,961200,4700000,2100000,11600000,-3800000,294800,0,858400,0,-4300000,-1500000,-2800000,2800000,2800000,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,4,0,0
NPK,National Presto Industries Inc.,Capital Goods,2013,Balance Sheet,23000000,-14500000,59400000,84500000,92500000,19600000,256000000,155900000,-66300000,36200000,44300000,393500000,37800000,0,2100000,10300000,54200000,0,-6800000,0,61000000,0,0,332600000,332600000,6900000,0,0,NPK,2013,Income Statement,420200000,331900000,8900000,79400000,21900000,0,362700000,57500000,3000000,-2800000,0,0,58300000,-17100000,41300000,6900000,6900000,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
WMS,Advanced Drainage Systems Inc.,Capital Goods,2013,Balance Sheet,1400000,-721000,1400000,146500000,232400000,7200000,387400000,654800000,-359900000,180900000,200000000,907700000,110300000,11900000,35400000,35400000,167100000,338000000,-74100000,5800000,585100000,-2000000,608300000,-309000000,299400000,1900000,0,0,WMS,2013,Income Statement,1000000000,763400000,55600000,198000000,137200000,0,956200000,60900000,4000,-??,16100000,1900000,46700000,-16900000,20200000,9900000,10000000,2,2,0,0,-2000000,0,387000,0,-736000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0
BA,Boeing Co.,Capital Goods,2013,Balance Sheet,9200000000,-1300000000,15300000000,6900000000,42900000000,14000000,65100000000,25300000000,-15100000000,8100000000,9200000000,92700000000,9400000000,1700000000,7400000000,27500000000,51500000000,8100000000,-2900000000,1100000000,77700000000,0,0,14900000000,14900000000,747400000,0,0,BA,2013,Income Statement,86600000000,71300000000,1800000000,13400000000,7000000000,3100000000,80200000000,6400000000,51000000,-81000000,548000000,106000000,6200000000,-1600000000,4600000000,758900000,767600000,6,6,0,-1000000,0,214000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0
HON,Honeywell International Inc.,Capital Goods,2013,Balance Sheet,6400000000,1800000000,6400000000,7900000000,4300000000,2500000000,21200000000,14600000000,-9300000000,15600000000,17600000000,45400000000,5200000000,2000000000,100000000,5200000000,14200000000,6800000000,-436000000,3100000000,27700000000,-38000000,0,17500000000,17500000000,783800000,0,0,HON,2013,Income Statement,39100000000,25000000000,989000000,13100000000,6900000000,1800000000,32900000000,6200000000,71000000,-663000000,255000000,-52000000,5400000000,-1500000000,3900000000,786400000,797300000,5,5,0,0,-38000000,36000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0
UTX,United Technologies Corporation,Capital Goods,2013,Balance Sheet,4700000000,-217000000,4700000000,11500000000,10300000000,3000000000,29400000000,18700000000,-9800000000,43700000000,49800000000,90600000000,7000000000,500000000,6000000000,12700000000,22800000000,19700000000,-1200000000,11300000000,57300000000,-388000000,0,31900000000,31900000000,916700000,0,0,UTX,2013,Income Statement,62700000000,43300000000,1800000000,17500000000,9000000000,2500000000,54100000000,8600000000,77000000,-504000000,1000000000,1100000000,8300000000,-2200000000,5700000000,901000000,915100000,6,6,31000000,4000000,-388000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0
CZR,Caesars Entertainment Corporation,Consumer Services,2013,Balance Sheet,2900000000,1000000000,2900000000,619900000,45600000,246100000,3800000000,16100000000,-2800000000,6600000000,7200000000,24700000000,442700000,197100000,1000000000,1400000000,2500000000,20900000000,-2500000000,0,26600000000,-8400000,0,-3100000000,-3100000000,136800000,0,0,CZR,2013,Income Statement,8600000000,4500000000,742400000,3300000000,2400000000,0,7600000000,943700000,0,-3300000000,2100000000,-20400000,-4500000000,-1500000000,-2900000000,128600000,128600000,-23,-23,-30000000,0,-8400000,-17600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-8,0,0
PLCE,Children’s Place Inc.,Consumer Services,2013,Balance Sheet,194100000,17500000,209100000,18500000,267000000,50600000,545200000,844000000,-513900000,0,4400000,923400000,87500000,0,64900000,72700000,191500000,0,-43700000,18400000,302500000,0,0,620900000,620900000,23200000,0,0,PLCE,2013,Income Statement,1800000000,1100000000,77400000,614000000,506900000,0,1700000000,107100000,0,-17400000,1000000,0,89700000,-26500000,63200000,24100000,24300000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0
AMZN,Amazon.com Inc.,Consumer Services,2013,Balance Sheet,8700000000,574000000,12400000000,4800000000,7400000000,0,24600000000,14800000000,-3900000000,3300000000,3800000000,41400000000,15100000000,1700000000,5000000000,6100000000,23000000000,5200000000,-344000000,1200000000,31700000000,0,0,9700000000,9700000000,459000000,0,0,AMZN,2013,Income Statement,74500000000,51400000000,3300000000,19800000000,19000000000,6100000000,73600000000,859000000,-??,-??,141000000,-250000000,506000000,-161000000,274000000,457000000,465000000,1,1,0,0,0,0,-71000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0
BJRI,BJ’s Restaurants Inc.,Consumer Services,2013,Balance Sheet,23000000,7900000,31000000,12800000,7400000,19600000,70800000,752500000,-238900000,4700000,24600000,610900000,31500000,0,12800000,28900000,92100000,0,-30600000,12500000,209400000,0,0,401400000,401400000,28300000,0,0,BJRI,2013,Income Statement,775100000,465300000,49000000,260800000,232200000,0,746600000,28600000,-??,-3900000,0,240000,25000000,-4000000,21000000,28200000,28900000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0
CATO,Cato Corporation,Consumer Services,2013,Balance Sheet,37100000,-3800000,194600000,40000000,140700000,4600000,390200000,385700000,-251400000,0,8200000,532600000,99200000,0,36100000,50100000,159600000,0,-3300000,24500000,187400000,0,0,345200000,345200000,29300000,10200000,0,CATO,2013,Income Statement,944000000,582000000,22500000,339600000,244300000,0,848700000,95300000,-??,-??,0,2100000,99000000,-37300000,60800000,28800000,28800000,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0
CMCSA,Comcast Corp.,Consumer Services,2013,Balance Sheet,1700000000,-9200000000,5300000000,6400000000,0,2400000000,14100000000,72400000000,-42600000000,103800000000,110600000000,158800000000,5500000000,3300000000,9200000000,10100000000,18900000000,44600000000,-31900000000,11400000000,106800000000,-319000000,0,50700000000,50700000000,2600000000,0,0,CMCSA,2013,Income Statement,64700000000,11400000000,16100000000,37100000000,23400000000,0,50900000000,13700000000,-??,-428000000,2600000000,369000000,11100000000,-4000000000,6800000000,2600000000,2700000000,3,3,0,0,-319000000,-86000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0
MOC,Command Security Corporation,Consumer Services,2013,Balance Sheet,0,-1200000,8500,28500000,0,2900000,32400000,4100000,-3400000,2600000,1900000,38600000,1100000,10600000,9400,1400000,20800000,0,-3300000,0,21600000,0,0,17000000,17000000,9100000,1100000,0,MOC,2013,Income Statement,150200000,127100000,676000,22500000,17900000,0,145700000,4600000,-??,-2900000,139400,23100,1500000,-1000000,496300,9500000,9600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,0,0
COSI,Cosi Inc.,Consumer Services,2013,Balance Sheet,6000000,-9400000,6000000,1100000,779000,85000,9300000,69400000,-61300000,280000,1100000,18600000,2500000,0,6200000,7200000,11800000,0,0,2200000,15900000,0,0,2700000,2700000,18000000,1300000,0,COSI,2013,Income Statement,86300000,82100000,2700000,1500000,11200000,0,96100000,-9800000,-??,-1700000,0,-5000,-11400000,0,-11400000,18000000,18000000,-1,-1,0,0,0,0,0,124000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,5,7,0,0
COST,Costco Wholesale Corp.,Consumer Services,2013,Balance Sheet,4600000000,1100000000,6100000000,1200000000,7900000000,621000000,15800000000,21000000000,-7100000000,63000000,372000000,30300000000,7900000000,4000000,710000000,3000000000,13300000000,5200000000,-388000000,374000000,19300000000,-22000000,0,10800000000,10800000000,436800000,0,0,COST,2013,Income Statement,105200000000,91000000000,946000000,13200000000,10200000000,0,102100000000,3100000000,-??,-??,99000000,53000000,3100000000,-990000000,2000000000,435700000,440500000,5,5,0,0,-22000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0
EVI,EnviroStar Inc.,Consumer Services,2013,Balance Sheet,0,-583700,5900000,2300000,2000000,552800,10800000,917300,-753200,53200,53200,11100000,1300000,0,0,2500000,5400000,0,-19300,0,5400000,0,0,5700000,5700000,7000000,0,0,EVI,2013,Income Statement,36200000,27900000,57900,8200000,5700000,0,33700000,2600000,-??,-??,0,0,2600000,-979400,1600000,7000000,7000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0
FLL,Full House Resorts Inc.,Consumer Services,2013,Balance Sheet,0,-5700000,14900000,1900000,0,726000,23800000,114300000,-23100000,33700000,38000000,154300000,2700000,736000,5100000,5100000,11900000,64500000,-1200000,0,76500000,0,0,77800000,77800000,18800000,6300000,0,FLL,2013,Income Statement,144700000,81300000,9400000,54000000,47000000,67000,137800000,7000000,-??,-4000000,7300000,-15000,-4300000,-361000,-4000000,18700000,18700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
IOT,Income Opportunity Realty Investors Inc.,Consumer Services,2013,Balance Sheet,3000,1000,3000,44500000,0,0,0,24500000,0,0,1200000,93800000,0,0,0,0,0,12400000,0,216000,12600000,0,0,81200000,81200000,4200000,0,0,IOT,2013,Income Statement,0,1600000,0,-1600000,734000,0,4300000,-4300000,-??,-??,2000000,5800000,8600000,-3100000,5500000,4200000,4200000,1,1,-16000,0,0,0,0,0,0,0,0,2000000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ISIG,Insignia Systems Inc.,Consumer Services,2013,Balance Sheet,21800000,1500000,21800000,4300000,307000,495000,26900000,5700000,-3900000,0,3000000,31600000,2600000,0,505000,766000,4700000,0,-284000,458000,5400000,0,0,26200000,26200000,12800000,0,0,ISIG,2013,Income Statement,27800000,14000000,1100000,12700000,10300000,0,25400000,2400000,-??,0,0,0,2400000,-1000000,1400000,13300000,13400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
